MAC;FABRICANTE
CC:29:F5;Apple
CC:44:63;Apple
CC:78:5F;Apple
CC:C7:60;Apple
D0:03:4B;Apple
D0:23:DB;Apple
D0:25:98;Apple
D0:33:11;Apple
D0:4F:7E;Apple
D0:A6:37;Apple
D0:C5:F3;Apple
D0:E1:40;Apple
D4:61:9D;Apple
D4:9A:20;Apple
D4:DC:CD;Apple
D4:F4:6F;Apple
D8:00:4D;Apple
D8:1D:72;Apple
D8:30:62;Apple
D8:96:95;Apple
D8:9E:3F;Apple
D8:A2:5E;Apple
D8:BB:2C;Apple
D8:CF:9C;Apple
D8:D1:CB;Apple
DC:0C:5C;Apple
DC:2B:2A;Apple
DC:2B:61;Apple
DC:37:14;Apple
DC:41:5F;Apple
DC:86:D8;Apple
DC:9B:9C;Apple
DC:A4:CA;Apple
DC:A9:04;Apple
E0:5F:45;Apple
E0:66:78;Apple
E0:AC:CB;Apple
E0:B5:2D;Apple
E0:B9:BA;Apple
E0:C7:67;Apple
E0:C9:7A;Apple
E0:F5:C6;Apple
E0:F8:47;Apple
E4:25:E7;Apple
E4:8B:7F;Apple
E4:98:D6;Apple
E4:9A:79;Apple
E4:C6:3D;Apple
E4:CE:8F;Apple
E4:E4:AB;Apple
E8:04:0B;Apple
E8:06:88;Apple
E8:80:2E;Apple
E8:8D:28;Apple
E8:B2:AC;Apple
EC:35:86;Apple
EC:85:2F;Apple
EC:AD:B8;Apple
F0:24:75;Apple
F0:79:60;Apple
F0:99:BF;Apple
F0:B0:E7;Apple
F0:B4:79;Apple
F0:C1:F1;Apple
F0:CB:A1;Apple
F0:D1:A9;Apple
F0:DB:E2;Apple
F0:DB:F8;Apple
F0:DC:E2;Apple
F0:F6:1C;Apple
F4:0F:24;Apple
F4:1B:A1;Apple
F4:31:C3;Apple
F4:37:B7;Apple
F4:5C:89;Apple
F4:F1:5A;Apple
F4:F9:51;Apple
F8:03:77;Apple
F8:1E:DF;Apple
F8:27:93;Apple
F8:62:14;Apple
FC:25:3F;Apple
FC:D8:48;Apple
FC:E9:98;Apple
FC:FC:48;Apple
40:98:AD;Apple
00:22:A1;Huawei
00:25:9E;Huawei
00:34:FE;Huawei
00:46:4B;Huawei
00:5A:13;Huawei
00:66:4B;Huawei
00:9A:CD;Huawei
00:E0:FC;Huawei
00:F8:1C;Huawei
04:02:1F;Huawei
04:25:C5;Huawei
04:9F:CA;Huawei
04:B0:E7;Huawei
04:BD:70;Huawei
04:C0:6F;Huawei
04:F9:38;Huawei
04:FE:8D;Huawei
08:19:A6;Huawei
08:63:61;Huawei
08:7A:4C;Huawei
08:C0:21;Huawei
08:E8:4F;Huawei
0C:37:DC;Huawei
0C:45:BA;Huawei
0C:96:BF;Huawei
0C:D6:BD;Huawei
10:1B:54;Huawei
10:B1:F8;Huawei
10:C6:1F;Huawei
14:5F:94;Huawei
14:9D:09;Huawei
14:A0:F8;Huawei
14:A5:1A;Huawei
14:B9:68;Huawei
14:D1:1F;Huawei
18:C5:8A;Huawei
18:D2:76;Huawei
18:DE:D7;Huawei
1C:1D:67;Huawei
1C:67:58;Huawei
1C:8E:5C;Huawei
20:08:ED;Huawei
20:0B:C7;Huawei
20:2B:C1;Huawei
20:3D:B2;Huawei
20:A6:80;Huawei
20:F1:7C;Huawei
20:F3:A3;Huawei
24:00:BA;Huawei
24:1F:A0;Huawei
24:4C:07;Huawei
24:69:A5;Huawei
24:7F:3C;Huawei
24:9E:AB;Huawei
24:BC:F8;Huawei
24:DB:AC;Huawei
24:DF:6A;Huawei
28:3C:E4;Huawei
28:5F:DB;Huawei
28:6E:D4;Huawei
28:A6:DB;Huawei
28:B4:48;Huawei
2C:55:D3;Huawei
2C:9D:1E;Huawei
2C:AB:00;Huawei
2C:CF:58;Huawei
30:D1:7E;Huawei
30:F3:35;Huawei
34:00:A3;Huawei
34:1E:6B;Huawei
34:6A:C2;Huawei
34:6B:D3;Huawei
34:A2:A2;Huawei
34:B3:54;Huawei
34:CD:BE;Huawei
38:4C:4F;Huawei
38:BC:01;Huawei
38:F8:89;Huawei
3C:47:11;Huawei
3C:67:8C;Huawei
3C:DF:BD;Huawei
3C:F8:08;Huawei
3C:FA:43;Huawei
40:4D:8E;Huawei
40:7D:0F;Huawei
40:CB:A8;Huawei
44:55:B1;Huawei
44:6A:2E;Huawei
44:6E:E5;Huawei
44:C3:46;Huawei
48:3C:0C;Huawei
48:43:5A;Huawei
48:46:FB;Huawei
48:7B:6B;Huawei
48:AD:08;Huawei
48:D5:39;Huawei
48:DB:50;Huawei
48:FD:8E;Huawei
4C:1F:CC;Huawei
4C:54:99;Huawei
4C:8B:EF;Huawei
4C:B1:6C;Huawei
4C:F9:5D;Huawei
4C:FB:45;Huawei
50:01:6B;Huawei
50:01:D9;Huawei
50:04:B8;Huawei
50:68:0A;Huawei
50:9F:27;Huawei
50:A7:2B;Huawei
54:25:EA;Huawei
54:39:DF;Huawei
54:51:1B;Huawei
54:A5:1B;Huawei
58:1F:28;Huawei
58:2A:F7;Huawei
58:60:5F;Huawei
58:7F:66;Huawei
5C:4C:A9;Huawei
5C:7D:5E;Huawei
5C:A8:6A;Huawei
5C:B3:95;Huawei
5C:B4:3E;Huawei
5C:F9:6A;Huawei
60:DE:44;Huawei
60:E7:01;Huawei
64:16:F0;Huawei
64:3E:8C;Huawei
64:A6:51;Huawei
68:89:C1;Huawei
68:8F:84;Huawei
68:A0:F6;Huawei
68:A8:28;Huawei
68:CC:6E;Huawei
70:54:F5;Huawei
70:72:3C;Huawei
70:7B:E8;Huawei
70:8A:09;Huawei
70:A8:E3;Huawei
74:5A:AA;Huawei
74:88:2A;Huawei
74:9D:8F;Huawei
74:A0:63;Huawei
74:A5:28;Huawei
78:1D:BA;Huawei
78:6A:89;Huawei
78:D7:52;Huawei
78:F5:57;Huawei
78:F5:FD;Huawei
7C:11:CB;Huawei
7C:1C:F1;Huawei
7C:60:97;Huawei
7C:7D:3D;Huawei
7C:A2:3E;Huawei
7C:B1:5D;Huawei
80:38:BC;Huawei
80:71:7A;Huawei
80:B6:86;Huawei
80:D0:9B;Huawei
80:D4:A5;Huawei
80:FB:06;Huawei
84:21:F1;Huawei
84:5B:12;Huawei
84:9F:B5;Huawei
84:A8:E4;Huawei
84:A9:C4;Huawei
84:AD:58;Huawei
84:BE:52;Huawei
84:DB:AC;Huawei
88:28:B3;Huawei
88:3F:D3;Huawei
88:53:D4;Huawei
88:A2:D7;Huawei
88:CE:FA;Huawei
88:CF:98;Huawei
88:E3:AB;Huawei
8C:0D:76;Huawei
8C:34:FD;Huawei
8C:EB:C6;Huawei
90:17:AC;Huawei
90:4E:2B;Huawei
90:67:1C;Huawei
94:04:9C;Huawei
94:77:2B;Huawei
94:DB:DA;Huawei
94:FE:22;Huawei
98:E7:F5;Huawei
9C:28:EF;Huawei
9C:37:F4;Huawei
9C:52:F8;Huawei
9C:74:1A;Huawei
9C:7D:A3;Huawei
9C:B2:B2;Huawei
9C:C1:72;Huawei
9C:E3:74;Huawei
A0:08:6F;Huawei
A0:8C:F8;Huawei
A0:8D:16;Huawei
A0:A3:3B;Huawei
A0:F4:79;Huawei
A4:71:74;Huawei
A4:99:47;Huawei
A4:BA:76;Huawei
A4:C6:4F;Huawei
A4:CA:A0;Huawei
A4:DC:BE;Huawei
A8:C8:3A;Huawei
A8:CA:7B;Huawei
AC:4E:91;Huawei
AC:61:75;Huawei
AC:85:3D;Huawei
AC:CF:85;Huawei
AC:E2:15;Huawei
AC:E8:7B;Huawei
B0:5B:67;Huawei
B0:89:00;Huawei
B0:E5:ED;Huawei
B4:15:13;Huawei
B4:30:52;Huawei
B8:08:D7;Huawei
B8:BC:1B;Huawei
BC:25:E0;Huawei
BC:3F:8F;Huawei
BC:62:0E;Huawei
BC:75:74;Huawei
BC:76:70;Huawei
BC:9C:31;Huawei
C0:70:09;Huawei
C0:BF:C0;Huawei
C4:05:28;Huawei
C4:07:2F;Huawei
C4:47:3F;Huawei
C4:86:E9;Huawei
C4:F0:81;Huawei
C4:FF:1F;Huawei
C8:0C:C8;Huawei
C8:14:51;Huawei
C8:1F:BE;Huawei
C8:51:95;Huawei
C8:8D:83;Huawei
C8:94:BB;Huawei
C8:D1:5E;Huawei
CC:53:B5;Huawei
CC:96:A0;Huawei
CC:A2:23;Huawei
CC:CC:81;Huawei
D0:2D:B3;Huawei
D0:3E:5C;Huawei
D0:65:CA;Huawei
D0:6F:82;Huawei
D0:7A:B5;Huawei
D0:D0:4B;Huawei
D0:FF:98;Huawei
D4:40:F0;Huawei
D4:61:2E;Huawei
D4:6A:A8;Huawei
D4:6E:5C;Huawei
D4:94:E8;Huawei
D4:A1:48;Huawei
D4:B1:10;Huawei
D4:F9:A1;Huawei
D8:49:0B;Huawei
D8:C7:71;Huawei
DC:09:4C;Huawei
DC:C6:4B;Huawei
DC:D2:FC;Huawei
DC:D9:16;Huawei
DC:EE:06;Huawei
